Entity,Code,Year,"Female lung cancer deaths (per 100,000) (WHO (IARC) (2016))","Male lung cancer deaths per 100,000 (WHO (IARC) (2016))"
Iceland,ISL,1988,28.32,30.6
Iceland,ISL,1989,23.52,26.57
Iceland,ISL,1990,21.87,30.4
Iceland,ISL,1991,22.31,35.35
Iceland,ISL,1992,29.95,27.38
Iceland,ISL,1993,23.79,29.74
Iceland,ISL,1994,27.69,22.99
Iceland,ISL,1995,21.38,29.19
Iceland,ISL,1996,25.84,34.24
Iceland,ISL,1997,26.57,36.04
Iceland,ISL,1998,23.88,29.35
Iceland,ISL,1999,25.15,32.93
Iceland,ISL,2000,26.19,26.27
Iceland,ISL,2001,23.77,30.45
Iceland,ISL,2002,22.95,25.06
Iceland,ISL,1955,,9.75
India,IND,2002,1.7,7.9
Indonesia,IDN,2002,6.3,18.6
Iran,IRN,2002,2.1,6.7
Iraq,IRQ,2002,6.2,21.1
Ireland,IRL,1950,3.12,10.21
Ireland,IRL,1951,4.18,12.5
Ireland,IRL,1952,4.67,14.46
Ireland,IRL,1953,4.7,16.65
Ireland,IRL,1954,5.88,18.09
Ireland,IRL,1955,5.53,19.13
Ireland,IRL,1956,4.74,21.95
Ireland,IRL,1957,7.06,22.1
Ireland,IRL,1958,5.48,21.66
Ireland,IRL,1959,5.12,24.6
Ireland,IRL,1960,5.93,26.37
Ireland,IRL,1961,5.87,27.89
Ireland,IRL,1962,7.74,28.51
Ireland,IRL,1963,6.31,27.59
Ireland,IRL,1964,6.74,28.62
Ireland,IRL,1965,7.76,31.39
Ireland,IRL,1966,7.56,34.38
Ireland,IRL,1967,8.83,34.41
Ireland,IRL,1968,9.73,38.36
Ireland,IRL,1969,8.97,36.31
Ireland,IRL,1970,10.13,40.38
Ireland,IRL,1971,11.44,40.23
Ireland,IRL,1972,11.99,39.57
Ireland,IRL,1973,11.06,43.06
Ireland,IRL,1974,14.31,43.54
Ireland,IRL,1975,13.87,44.72
Ireland,IRL,1976,13.46,48.34
Ireland,IRL,1977,13.26,46.37
Ireland,IRL,1978,14.17,46.35
Ireland,IRL,1979,15.56,46.66
Ireland,IRL,1980,15,44.93
Ireland,IRL,1981,16.22,49.81
Ireland,IRL,1982,16.54,45.72
Ireland,IRL,1983,18.44,50.21
Ireland,IRL,1984,18.82,51.93
Ireland,IRL,1985,17.53,52.44
Ireland,IRL,1986,17.75,51.92
Ireland,IRL,1987,16.45,46.78
Ireland,IRL,1988,19.31,49.55
Ireland,IRL,1989,20.01,47.2
Ireland,IRL,1990,18.52,46.57
Ireland,IRL,1991,16.87,44.86
Ireland,IRL,1992,17.94,45.97
Ireland,IRL,1993,17.48,47.26
Ireland,IRL,1994,18.63,45.31
Ireland,IRL,1995,18.5,43.36
Ireland,IRL,1996,16.63,40.01
Ireland,IRL,1997,16.07,37.09
Ireland,IRL,1998,18.47,39.79
Ireland,IRL,1999,16.83,36.67
Ireland,IRL,2000,18.85,38.06
