Year,Actual_Median,Lower_95,Lower_80,Upper_80,Upper_95
2019, 7 713 468, 7 713 468, 7 713 468, 7 713 468, 7 713 468
2020, 7 794 799, 7 794 799, 7 794 799, 7 794 799, 7 794 799
2025,"8,184,437","8,144,343","8,158,461","8,210,109","8,223,574"
2030,"8,548,487","8,460,182","8,490,718","8,604,649","8,636,041"
2035,"8,887,524","8,746,077","8,794,995","8,979,850","9,029,502"
2040,"9,198,847","8,996,324","9,064,886","9,328,401","9,396,987"
2045,"9,481,803","9,213,142","9,303,490","9,656,305","9,744,879"
2050,"9,735,034","9,396,006","9,510,741","9,960,792","10,078,535"
2055,"9,958,099","9,534,887","9,677,100","10,242,807","10,392,599"
2060,"10,151,470","9,636,991","9,810,161","10,504,248","10,690,489"
2065,"10,317,879","9,703,980","9,906,896","10,747,242","10,976,553"
2070,"10,459,240","9,739,584","9,976,951","10,967,624","11,243,358"
2075,"10,577,288","9,748,508","10,018,453","11,170,359","11,500,320"
2080,"10,673,904","9,726,522","10,041,350","11,356,970","11,743,120"
2085,"10,750,662","9,677,887","10,031,261","11,537,176","11,988,844"
2090,"10,809,892","9,618,846","10,009,302","11,707,479","12,227,664"
2095,"10,851,860","9,529,601","9,963,420","11,858,490","12,448,936"
2100,"10,875,394","9,424,391","9,888,802","11,997,728","12,663,070"
