Scenario,Area,Year,Age,Education,Population
SSP2,World,1955,65--69,Total,59623.1
SSP2,World,1960,65--69,Total,63121.6
SSP2,World,1965,65--69,Total,70827
SSP2,World,1970,65--69,Total,82430.3
SSP2,World,1975,65--69,Total,93252
SSP2,World,1980,65--69,Total,103846.5
SSP2,World,1985,65--69,Total,105027.8
SSP2,World,1990,65--69,Total,124819.5
SSP2,World,1995,65--69,Total,141950
SSP2,World,2000,65--69,Total,153564.9
SSP2,World,2005,65--69,Total,169829.4
SSP2,World,2010,65--69,Total,178285.8
SSP2,World,2015,65--69,Total,216500
SSP2,World,2020,65--69,Total,269549.2
SSP2,World,2025,65--69,Total,296149.1
SSP2,World,2030,65--69,Total,341669.7
SSP2,World,2035,65--69,Total,381279.1
SSP2,World,2040,65--69,Total,402840.3
SSP2,World,2045,65--69,Total,411820.2
SSP2,World,2050,65--69,Total,454925.6
SSP2,World,2055,65--69,Total,506777.4
SSP2,World,2060,65--69,Total,496379.1
SSP2,World,2065,65--69,Total,489798.9
SSP2,World,2070,65--69,Total,508571.5
SSP2,World,2075,65--69,Total,539146.3
SSP2,World,2080,65--69,Total,565039.4
SSP2,World,2085,65--69,Total,560090
SSP2,World,2090,65--69,Total,557593.6
SSP2,World,2095,65--69,Total,550064.1
SSP2,World,2100,65--69,Total,546630.7
SSP2,World,1950,70--74,Total,37434.1
SSP2,World,1955,70--74,Total,40503
SSP2,World,1960,70--74,Total,44276.3
SSP2,World,1965,70--74,Total,47794.9
SSP2,World,1970,70--74,Total,55683
SSP2,World,1975,70--74,Total,65584.9
SSP2,World,1980,70--74,Total,75547.4
SSP2,World,1985,70--74,Total,84831
SSP2,World,1990,70--74,Total,86440.7
SSP2,World,1995,70--74,Total,103723.3
SSP2,World,2000,70--74,Total,118929.6
SSP2,World,2005,70--74,Total,130123.5
SSP2,World,2010,70--74,Total,145595.5
SSP2,World,2015,70--74,Total,153906.1
SSP2,World,2020,70--74,Total,188884.5
SSP2,World,2025,70--74,Total,236510.2
SSP2,World,2030,70--74,Total,261658
SSP2,World,2035,70--74,Total,304199.9
SSP2,World,2040,70--74,Total,341925.3
SSP2,World,2045,70--74,Total,363384.6
SSP2,World,2050,70--74,Total,373149
SSP2,World,2055,70--74,Total,414532.6
SSP2,World,2060,70--74,Total,464856.5
SSP2,World,2065,70--74,Total,457007.3
SSP2,World,2070,70--74,Total,452321
SSP2,World,2075,70--74,Total,471638.3
SSP2,World,2080,70--74,Total,502515.4
SSP2,World,2085,70--74,Total,529402.7
SSP2,World,2090,70--74,Total,527020.4
SSP2,World,2095,70--74,Total,526961
SSP2,World,2100,70--74,Total,521769.4
SSP2,World,1950,75--79,Total,22036.9
SSP2,World,1955,75--79,Total,23787.7
SSP2,World,1960,75--79,Total,26031.7
SSP2,World,1965,75--79,Total,29606.5
SSP2,World,1970,75--79,Total,33145.6
SSP2,World,1975,75--79,Total,39273
SSP2,World,1980,75--79,Total,47636.6
SSP2,World,1985,75--79,Total,55240.3
SSP2,World,1990,75--79,Total,63064.4
SSP2,World,1995,75--79,Total,64823.9
SSP2,World,2000,75--79,Total,79201.8
SSP2,World,2005,75--79,Total,91810.7
SSP2,World,2010,75--79,Total,102002.9
SSP2,World,2015,75--79,Total,115532.9
SSP2,World,2020,75--79,Total,123915.3
SSP2,World,2025,75--79,Total,154263.3
SSP2,World,2030,75--79,Total,194657.3
SSP2,World,2035,75--79,Total,217862
SSP2,World,2040,75--79,Total,256101.3
SSP2,World,2045,75--79,Total,290823.9
SSP2,World,2050,75--79,Total,311855.2
SSP2,World,2055,75--79,Total,322487.8
SSP2,World,2060,75--79,Total,361158.9
SSP2,World,2065,75--79,Total,408770.3
SSP2,World,2070,75--79,Total,404215.3
SSP2,World,2075,75--79,Total,401864.2
SSP2,World,2080,75--79,Total,421495.2
SSP2,World,2085,75--79,Total,452480.9
SSP2,World,2090,75--79,Total,480222.9
SSP2,World,2095,75--79,Total,481125.6
SSP2,World,2100,75--79,Total,484054.4
SSP2,World,1950,80--84,Total,14265.2
SSP2,World,1955,80--84,Total,16092.7
SSP2,World,1960,80--84,Total,17957.8
SSP2,World,1965,80--84,Total,20973.7
SSP2,World,1970,80--84,Total,25340.7
SSP2,World,1975,80--84,Total,29843.5
SSP2,World,1980,80--84,Total,35820.5
SSP2,World,1985,80--84,Total,44344.8
SSP2,World,1990,80--84,Total,34892.4
SSP2,World,1995,80--84,Total,40690.8
SSP2,World,2000,80--84,Total,42539.9
SSP2,World,2005,80--84,Total,53480.6
SSP2,World,2010,80--84,Total,64154.5
SSP2,World,2015,80--84,Total,71832.8
SSP2,World,2020,80--84,Total,82547.9
SSP2,World,2025,80--84,Total,90391.1
SSP2,World,2030,80--84,Total,114843.7
SSP2,World,2035,80--84,Total,146485.6
SSP2,World,2040,80--84,Total,166736.6
SSP2,World,2045,80--84,Total,199052.4
SSP2,World,2050,80--84,Total,229208.2
SSP2,World,2055,80--84,Total,248934.1
SSP2,World,2060,80--84,Total,260082.7
SSP2,World,2065,80--84,Total,294556
SSP2,World,2070,80--84,Total,337684.1
SSP2,World,2075,80--84,Total,336876.4
SSP2,World,2080,80--84,Total,337074.3
SSP2,World,2085,80--84,Total,356561.3
SSP2,World,2090,80--84,Total,386768.2
SSP2,World,2095,80--84,Total,414828.7
SSP2,World,2100,80--84,Total,419386.4
SSP2,World,1950,85--89,Total,3433
SSP2,World,1955,85--89,Total,3636.9
SSP2,World,1960,85--89,Total,4436.2
SSP2,World,1965,85--89,Total,5148.3
SSP2,World,1970,85--89,Total,6264.2
